step,reward,critic_loss,actor_loss,q_mean,logp_mean,sigma_mean,tau_mean,act_sat_frac,n_abort,abort_force_mean,success
39600,-0.0405,0.5589,-61.8837,61.0841,-4.0061,0.1995,0.1020,0.0052,0,0.0000,0.0000
39800,-0.0324,0.2813,-62.1000,61.2932,-4.0387,0.1997,0.1009,0.0020,0,0.0000,0.0000
40000,-0.0346,0.2678,-62.2242,61.4248,-4.0097,0.1993,0.1028,0.0013,0,0.0000,0.0000
40200,-0.0349,0.3041,-62.2879,61.4816,-4.0375,0.1996,0.1014,0.0033,0,0.0000,0.0000
40400,-0.0414,0.3989,-62.3179,61.5161,-4.0201,0.1994,0.1022,0.0026,0,0.0000,0.0000
40600,-0.0364,0.6304,-62.3762,61.5706,-4.0368,0.1996,0.1016,0.0026,0,0.0000,0.0000
40800,-0.0401,0.4367,-62.4638,61.6567,-4.0534,0.1990,0.1039,0.0007,0,0.0000,0.0000
41000,-0.0340,0.2780,-62.6369,61.8361,-4.0218,0.1991,0.1035,0.0020,0,0.0000,0.0000
41200,-0.0351,0.3218,-62.7548,61.9512,-4.0325,0.1992,0.1028,0.0020,0,0.0000,0.0000
41400,-0.0349,0.1563,-62.9053,62.1013,-4.0252,0.1997,0.1010,0.0026,0,0.0000,0.0000
41600,-0.0345,0.1402,-63.0407,62.2386,-4.0166,0.1996,0.1014,0.0020,0,0.0000,0.0000
41800,-0.0349,0.1252,-63.1425,62.3413,-4.0157,0.1994,0.1019,0.0020,0,0.0000,0.0000
42000,-0.0450,0.2450,-63.2012,62.3940,-4.0491,0.1994,0.1023,0.0020,0,0.0000,0.0000
42200,-0.0345,0.2355,-63.2911,62.4886,-4.0174,0.1998,0.1007,0.0013,0,0.0000,0.0000
42400,-0.0388,0.1016,-63.4387,62.6353,-4.0268,0.1995,0.1021,0.0026,0,0.0000,0.0000
42600,-0.0432,0.4432,-63.4257,62.6177,-4.0457,0.1997,0.1011,0.0052,0,0.0000,0.0000
42800,-0.0351,0.5505,-63.5935,62.7896,-4.0383,0.1990,0.1038,0.0013,0,0.0000,0.0000
43000,-0.0356,0.3884,-63.6030,62.7994,-4.0279,0.1994,0.1018,0.0039,0,0.0000,0.0000
43200,-0.0345,0.0589,-63.6694,62.8721,-3.9912,0.1997,0.1009,0.0033,0,0.0000,0.0000
43400,-0.0402,0.6224,-63.8578,63.0549,-4.0197,0.1996,0.1014,0.0013,0,0.0000,0.0000
43600,-0.0343,0.4234,-63.9123,63.1089,-4.0288,0.1994,0.1021,0.0000,0,0.0000,0.0000
43800,-0.0342,0.5279,-64.0100,63.2132,-3.9910,0.1996,0.1012,0.0007,0,0.0000,0.0000
44000,-0.0344,0.3034,-64.1195,63.3187,-4.0079,0.1998,0.1010,0.0007,0,0.0000,0.0000
44200,-0.0340,0.3084,-64.2395,63.4407,-4.0072,0.1993,0.1027,0.0020,0,0.0000,0.0000
44400,-0.0342,0.4244,-64.1968,63.3922,-4.0302,0.1996,0.1016,0.0026,0,0.0000,0.0000
44600,-0.0380,0.4202,-64.3975,63.5939,-4.0266,0.1995,0.1020,0.0007,0,0.0000,0.0000
44800,-0.0337,0.2306,-64.5663,63.7615,-4.0319,0.1996,0.1013,0.0033,0,0.0000,0.0000
45000,-0.5662,0.2446,-64.6120,63.8107,-4.0113,0.1997,0.1009,0.0065,0,0.0000,0.0000
45200,-0.0343,0.2430,-64.5803,63.7768,-4.0316,0.1993,0.1020,0.0000,0,0.0000,0.0000
45400,-0.0344,0.5333,-64.6563,63.8556,-4.0092,0.1996,0.1012,0.0013,0,0.0000,0.0000
45600,-0.2853,0.3465,-64.8741,64.0674,-4.0417,0.1995,0.1015,0.0026,0,0.0000,0.0000
45800,-0.0368,0.3669,-65.0250,64.2242,-4.0200,0.1991,0.1036,0.0013,0,0.0000,0.0000
46000,-0.0355,0.3673,-65.0027,64.2015,-4.0163,0.1994,0.1021,0.0020,0,0.0000,0.0000
46200,-0.0410,0.0496,-65.1598,64.3507,-4.0496,0.1997,0.1009,0.0007,0,0.0000,0.0000
46400,-0.0382,0.2623,-65.1706,64.3683,-4.0159,0.1998,0.1007,0.0000,0,0.0000,0.0000
46600,-0.0349,0.0716,-65.2262,64.4178,-4.0445,0.1999,0.1004,0.0033,0,0.0000,0.0000
46800,-0.0300,0.4211,-65.3188,64.5149,-4.0317,0.1993,0.1021,0.0013,0,0.0000,0.0000
47000,-0.0348,0.6129,-65.3695,64.5600,-4.0550,0.1996,0.1013,0.0007,0,0.0000,0.0000
47200,-0.0342,0.3125,-65.5741,64.7706,-4.0245,0.1996,0.1012,0.0026,0,0.0000,0.0000
