time_s,index_joint0_target_rad,middle_joint0_target_rad,pinky_joint0_target_rad,ring_joint0_target_rad,thumb_joint0_target_rad,index_joint1_target_rad,middle_joint1_target_rad,pinky_joint1_target_rad,ring_joint1_target_rad,thumb_joint1_target_rad,index_joint2_target_rad,thumb_joint2_target_rad
8.80000,0.073825,0.000000,1.690741,0.081870,0.692522,1.253428,1.719178,1.103206,1.649162,1.003011,0.407194,1.628808
8.85000,-0.025311,0.398638,1.586226,0.030058,0.993075,1.193660,1.831837,1.363931,1.801363,1.090386,0.136152,1.309081
8.90000,-0.024753,0.570443,1.426453,0.034860,1.396154,0.494522,1.758019,1.448910,1.855742,0.963778,0.170299,1.597150
8.95000,0.029134,0.601229,1.176951,0.210282,1.511410,0.464668,1.464125,1.126641,1.846225,0.324975,0.604647,1.440199
9.00000,0.104374,0.205810,1.391954,0.078070,1.340349,0.714039,1.711001,1.136172,1.616660,0.554420,0.697200,1.215556
9.05000,0.092159,0.217016,1.521441,0.000000,1.069263,1.351937,1.870732,1.105422,1.581900,0.787768,0.538194,1.371966
9.10000,0.069338,0.577637,1.433940,0.000000,1.429722,0.927567,1.817398,1.218031,1.785657,0.863323,0.427476,1.489082
9.15000,0.043329,0.431068,1.093616,0.000000,1.748636,0.416898,1.547855,1.294294,1.851572,-0.012143,0.835883,1.274173
9.20000,0.141270,0.083779,1.394084,0.079950,1.407395,1.049742,1.771053,0.765624,1.333505,0.102830,1.022504,0.682037
9.25000,0.039312,0.066942,1.714560,0.075703,0.473785,1.579539,1.885617,0.713321,1.728735,1.109281,0.774867,1.376359
9.30000,-0.105829,0.737544,1.645917,0.106350,1.441744,0.887837,1.860739,1.258532,1.822262,1.324554,0.242428,1.505577
9.35000,-0.155226,0.775742,1.223927,0.364717,1.765079,0.329054,1.291566,1.689888,1.901102,0.776135,0.772185,1.495010
9.40000,0.013076,0.214364,1.320278,0.128368,1.807206,0.624891,1.222976,0.868909,0.783654,0.477769,1.439908,1.138657
9.45000,0.113916,0.561943,1.357569,0.352306,1.257644,0.973692,1.616997,0.778364,0.522036,1.098546,1.462099,0.283242
9.50000,0.138064,0.220824,1.603110,0.202059,0.760183,1.259498,1.602853,1.203158,1.419853,1.223069,0.526321,1.227084
9.55000,-0.061091,1.067569,1.481996,0.055184,1.505554,0.520707,1.704032,1.634171,1.716973,1.329123,0.507793,1.562844
9.60000,-0.144879,0.595982,1.262364,0.308825,1.775293,0.173838,1.446386,1.841574,1.852527,0.363424,0.763727,1.508010
9.65000,0.026064,0.156069,1.619760,0.312021,1.592167,0.776585,1.601223,1.144402,0.639511,1.092539,1.126659,0.987481
9.70000,0.119118,0.708640,1.380744,0.097108,0.939113,1.251449,1.800692,1.659404,1.448843,0.979794,0.779822,1.587923
9.75000,-0.001843,0.784215,1.325231,0.047207,1.446813,0.472576,1.448970,1.691797,1.742383,0.578238,0.570590,1.705140
9.80000,-0.021148,0.303113,1.108208,0.042781,1.686711,0.655341,1.378776,1.766314,1.763217,0.562978,1.040028,1.795818
9.85000,0.072250,0.131160,1.168824,0.045293,1.435427,0.453441,1.088364,1.281605,1.405398,0.322321,1.191888,1.718130
9.90000,0.129784,0.150176,1.260277,0.000000,1.387898,0.783446,1.373800,1.213104,1.292660,0.772655,0.847125,1.765983
9.95000,0.116595,0.438667,1.341987,0.032514,1.339964,0.281055,1.263684,1.250045,1.597896,0.154208,0.524671,1.772432
